,ID,name,deadline,data_size_GB,type,get_paid_per_hour
0,T0,Albert,2022-10-01 10:00:00,2,classification,5
1,T1,Edwin,2022-11-27 18:48:33,84,computation,6
2,T2,Edgar,2022-04-20 02:59:36,36,classfication,5
3,T3,Emma,2022-05-29 06:11:19,34,reinforcement_learning,5
4,T4,Edgar,2022-10-23 19:26:11,52,regression,8
5,T5,Walter,2022-07-03 13:48:27,16,regression,7
6,T6,Vivian,2022-12-25 19:06:20,33,computation,9
7,T7,Paul,2022-11-02 04:51:21,7,classfication,5
8,T8,Thomas,2022-08-04 02:42:50,6,CNN,8
9,T9,Eleanor,2022-06-16 21:06:09,76,NLP,5
10,T10,Byron,2022-10-24 09:05:26,61,classfication,9
11,T11,Alissa,2022-10-20 16:13:02,15,CNN,8
12,T12,Sienna,2022-12-14 17:24:32,19,computation,7
13,T13,Dexter,2022-12-05 09:08:23,51,computation,9
14,T14,Harold,2022-12-15 09:47:11,3,decision_tree,8
15,T15,Alina,2022-09-27 22:21:14,63,NLP,8
16,T16,Edwin,2022-03-09 17:35:21,29,regression,8
17,T17,Eddy,2022-10-01 13:51:24,71,CNN,5
18,T18,Julia,2022-05-31 19:03:58,42,NLP,5
19,T19,Darcy,2022-02-11 01:28:33,91,recognition,10
20,T20,Alexander,2022-08-06 14:39:03,15,decision_tree,8
21,T21,Audrey,2022-03-05 07:51:55,45,clustering,6
22,T22,Hailey,2022-04-14 09:25:28,88,CNN,6
23,T23,Julian,2022-05-09 20:20:46,67,regression,8
24,T24,Kelsey,2022-11-30 23:41:22,90,regression,9
25,T25,Daryl,2022-11-25 02:45:37,81,regression,10
26,T26,Violet,2022-01-15 20:54:47,76,regression,6
27,T27,Maddie,2022-08-24 23:47:15,66,recognition,5
28,T28,Oliver,2022-02-15 12:19:42,27,regression,10
29,T29,Maddie,2022-03-14 14:55:31,84,regression,7
30,T30,Albert,2022-02-18 04:58:54,21,recognition,8
31,T31,Chester,2022-09-22 06:29:22,82,SVM,6
32,T32,Walter,2022-05-14 03:34:26,92,reinforcement_learning,9
33,T33,Kate,2022-12-10 02:39:44,79,computation,5
34,T34,Edward,2022-08-22 02:21:45,67,decision_tree,9
35,T35,Alfred,2022-01-07 16:47:49,77,NLP,9
36,T36,Arthur,2022-02-19 14:36:19,69,NLP,6
37,T37,Carlos,2022-03-05 19:48:37,55,recognition,6
38,T38,Carlos,2022-12-07 21:58:04,44,computation,6
39,T39,Nicole,2022-12-20 17:47:44,2,NLP,10
40,T40,Rafael,2022-09-19 08:45:50,82,CNN,6
41,T41,Marcus,2022-12-21 13:41:46,66,regression,6
42,T42,Adele,2022-06-06 21:47:08,77,decision_tree,9
43,T43,Richard,2022-07-28 13:45:39,76,decision_tree,7
44,T44,Richard,2022-03-30 12:55:49,11,SVM,10
45,T45,Amanda,2022-03-27 17:30:36,72,recognition,8
46,T46,Alford,2022-10-19 06:29:32,41,recognition,9
47,T47,Sabrina,2022-02-16 00:47:27,55,classfication,9
48,T48,Hailey,2022-08-10 18:41:49,4,SVM,6
49,T49,Jacob,2022-06-02 22:56:06,12,CNN,7
50,T50,Dainton,2022-04-05 10:20:31,94,reinforcement_learning,8
51,T51,Eddy,2022-10-24 03:54:17,54,SVM,10
52,T52,Fenton,2022-08-27 08:18:04,12,decision_tree,9
53,T53,Oliver,2022-10-04 22:55:34,5,decision_tree,5
54,T54,Sam,2022-10-16 08:43:34,69,computation,7
55,T55,Dexter,2022-09-11 17:33:28,38,classfication,10
56,T56,Valeria,2022-03-24 06:11:01,3,reinforcement_learning,10
57,T57,Walter,2022-04-01 03:48:26,17,NLP,9
58,T58,Vivian,2022-12-16 02:14:45,12,NLP,6
59,T59,Jenna,2022-09-16 10:17:54,37,clustering,7
60,T60,Alexander,2022-04-11 19:32:49,21,regression,6
61,T61,Edgar,2022-10-10 10:24:11,100,NLP,7
62,T62,Alfred,2022-06-27 19:19:51,94,computation,10
63,T63,Thomas,2022-10-29 19:57:03,96,classfication,10
64,T64,Arthur,2022-09-27 02:20:06,49,SVM,9
65,T65,Eleanor,2022-09-20 10:43:14,37,NLP,9
66,T66,Kellan,2022-08-29 13:06:20,58,decision_tree,5
67,T67,Aida,2022-09-16 10:15:42,41,clustering,8
68,T68,Carl,2022-12-05 04:50:53,47,CNN,10
69,T69,Julia,2022-03-22 05:07:30,7,reinforcement_learning,7
70,T70,Aiden,2022-06-14 16:45:27,89,SVM,7
71,T71,Natalie,2022-07-23 14:40:05,58,recognition,8
72,T72,Michelle,2022-02-12 19:04:08,70,computation,5
73,T73,Lucia,2022-02-04 07:24:31,83,SVM,10
74,T74,Richard,2022-11-20 21:44:39,62,computation,9
75,T75,Deanna,2022-09-14 19:04:16,10,computation,9
76,T76,Julian,2022-09-07 03:47:45,91,CNN,8
77,T77,Camila,2022-07-20 09:07:34,62,computation,10
78,T78,Hailey,2022-01-22 13:04:08,55,classfication,6
79,T79,Richard,2022-03-02 22:14:23,88,CNN,5
80,T80,Abraham,2022-07-10 06:23:27,77,decision_tree,9
81,T81,Arthur,2022-02-15 11:11:47,71,CNN,6
82,T82,Nicholas,2022-11-14 06:07:16,59,decision_tree,5
83,T83,Kelsey,2022-12-12 08:36:48,22,SVM,9
84,T84,Alexander,2022-03-18 18:47:45,50,CNN,8
85,T85,David,2022-09-25 20:28:59,63,decision_tree,6
86,T86,Alexia,2022-01-14 12:08:21,37,SVM,5
87,T87,Carlos,2022-07-14 19:11:01,24,decision_tree,6
88,T88,Darcy,2022-08-20 02:21:58,34,SVM,5
89,T89,Myra,2022-07-15 00:06:31,51,decision_tree,5
90,T90,Deanna,2022-12-11 19:37:10,73,recognition,5
91,T91,Sienna,2022-12-10 17:56:32,32,classfication,9
92,T92,Alexia,2022-08-31 18:53:27,76,CNN,5
93,T93,Melanie,2022-10-12 12:13:35,38,NLP,9
94,T94,Kelvin,2022-04-15 03:22:11,90,clustering,8
95,T95,Tyler,2022-01-24 19:26:52,54,SVM,10
96,T96,Lucy,2022-08-31 02:00:32,64,SVM,10
97,T97,Kellan,2022-05-06 13:15:36,52,decision_tree,6
98,T98,Daryl,2022-04-21 11:24:57,69,classfication,7
99,T99,Kelvin,2022-07-28 19:05:33,6,regression,10
100,T100,Florrie,2022-06-29 17:14:32,24,regression,9
101,T101,Sam,2022-08-28 13:07:44,27,classfication,9
102,T102,Maddie,2022-02-12 22:31:44,9,reinforcement_learning,10
103,T103,Sydney,2022-08-03 14:24:53,73,CNN,6
104,T104,David,2022-06-24 10:45:18,58,reinforcement_learning,7
105,T105,Evelyn,2022-01-28 23:53:26,53,computation,8
106,T106,Edwin,2022-12-16 16:04:29,73,reinforcement_learning,5
107,T107,Penelope,2022-04-10 04:25:04,8,clustering,7
108,T108,Wilson,2022-12-29 23:49:01,80,NLP,6
109,T109,Alfred,2022-12-24 07:16:29,36,clustering,6
110,T110,Sabrina,2022-07-14 12:01:32,76,regression,5
111,T111,Madaline,2022-03-16 17:59:24,93,regression,10
112,T112,Lydia,2022-07-30 13:28:30,39,decision_tree,7
113,T113,Florrie,2022-04-21 19:17:37,20,NLP,6
114,T114,Sienna,2022-02-16 07:38:56,15,regression,10
115,T115,Tyler,2022-05-24 09:11:12,42,CNN,6
116,T116,Edgar,2022-04-29 15:31:11,15,SVM,5
117,T117,Julia,2022-06-20 16:09:13,72,recognition,9
118,T118,Sarah,2022-11-11 15:00:23,77,recognition,5
119,T119,Maddie,2022-04-22 16:13:51,95,computation,10
120,T120,Lydia,2022-05-22 12:57:21,52,regression,5
121,T121,Thomas,2022-06-06 23:06:30,95,regression,5
122,T122,Kelsey,2022-08-11 00:31:16,95,NLP,6
123,T123,Samantha,2022-06-06 02:52:05,5,recognition,9
124,T124,Daryl,2022-02-08 06:55:26,99,decision_tree,8
125,T125,Nicholas,2022-02-12 07:00:19,41,NLP,6
126,T126,Derek,2022-07-21 10:54:19,83,regression,5
127,T127,Stuart,2022-09-24 14:31:46,42,decision_tree,9
128,T128,Daryl,2022-02-25 11:51:55,39,classfication,8
129,T129,Paul,2022-05-06 15:00:38,3,recognition,5
130,T130,Darcy,2022-06-01 03:35:01,54,CNN,5
